text,label
"I am so happy today",happy
"This is the best day ever",happy
"I feel amazing and excited",happy
"I am proud of myself",happy
"Everything is going great",happy
"I cannot stop smiling",happy
"That was awesome news",happy
"I feel hopeful about the future",happy
"I love how this turned out",happy
"Today is a win for me",happy
"I am very sad right now",sad
"This is really depressing",sad
"I feel lonely and upset",sad
"I am disappointed today",sad
"I miss my friends",sad
"I feel worn out and down",sad
"I want to cry",sad
"I feel like nothing is working",sad
"My mood is low today",sad
"I feel brokenhearted",sad
"I am furious about what happened",angry
"This makes me so angry",angry
"I am extremely frustrated",angry
"I cannot believe this happened",angry
"I am irritated by this situation",angry
"This is unfair and annoying",angry
"I am mad about the delay",angry
"I feel enraged right now",angry
"I am sick of this",angry
"I am losing my patience",angry
"It is just an average day",neutral
"Nothing special happened today",neutral
"I feel okay and calm",neutral
"Today is normal and quiet",neutral
"I am fine, just doing my routine",neutral
"Everything is steady right now",neutral
"I do not feel strongly either way",neutral
"I am simply getting through the day",neutral
"This is neither good nor bad",neutral
"I am just here doing my tasks",neutral
