text,label
"Win a FREE gift card now!!!",spam
"Hey are we still on for dinner?",ham
"URGENT: claim your prize by clicking the link",spam
"Can you call me when you get a chance?",ham
"Congratulations, you were selected for a reward",spam
"Meeting moved to 3pm, see you there",ham
"Limited time offer, act now to get paid",spam
"Confirm your account details to avoid suspension",spam
"Click here to claim your prize immediately",spam
"You have been selected for a free reward",spam
"URGENT: payment failed, update billing now",spam
"Congratulations winner, claim your bonus today",spam
"Your bank alert: verify your login now",spam
"Earn money fast from home, sign up now",spam
"Exclusive deal just for you, don’t miss out",spam
"Reset your password now to unlock your account",spam
"Hey, are you free to talk later?",ham
"Can you send me the file when you get a chance?",ham
"Reminder: meeting moved to 3pm",ham
"Thanks for your help, I appreciate it",ham
"Do you want to grab dinner tonight?",ham
"Please review the document and let me know",ham
"I’m on my way home now",ham
"Are we still good for tomorrow morning?",ham
"Call me when you have a second",ham
"Happy birthday! Hope you have a great day",ham
"Are you available for a quick call?",ham
"Let's catch up over coffee tomorrow",ham
